field_1	ID	Name	Latitude	Longitude
"55"	SN20290	HØNEFOSS	"60.17"	"10.25"
"143"	SN20301	HØNEFOSS - HØYBY	"60.1665"	"10.2478"
"79"	SN20260	HOLE - RØYSE	"60.08"	"10.2"
"3"	SN26864	DRAMMEN SYKEHUS	"59.7497"	"10.195"
"14"	SN26580	DRAMMEN - BANGELØKKA	"59.731"	"10.2142"
"19"	SN26894	DRAMMEN - GULSKOGEN	"59.7413"	"10.1672"
"32"	SN26852	DRAMMEN - BRAGERNES SKOLE	"59.7487"	"10.2258"
"56"	SN19940	LIER	"59.7908"	"10.2598"
"67"	SN26932	DRAMMEN - AUSTAD	"59.721"	"10.2168"
"73"	SN26594	DRAMMEN - DANVIK	"59.7327"	"10.1973"
"78"	SN26872	DRAMMEN - ØREN SKOLE	"59.7523"	"10.1705"
"142"	SN26590	DRAMMEN - SLETTA	"59.7445"	"10.2312"
"162"	SN26862	DRAMMEN TINGHUS	"59.744"	"10.2118"
"129"	SN20280	HØNEFOSS - HVERVEN	"60.1403"	"10.2662"
"131"	SN20361	RV35 EGGEMOEN	"60.2052"	"10.3113"
"120"	SN20250	HOLE	"60.1088"	"10.2948"
"186"	SN19663	E16 SOLLIHØGDA VEST	"59.964"	"10.3435"
"16"	SN19923	E18 LIERSKOGEN	"59.819"	"10.33"
"150"	SN26934	DRAMMEN - SOLUMSTRAND	"59.7112"	"10.2688"
"200"	SN20330	JEVNAKER	"60.23"	"10.4"
"2"	SN19660	E16 SKUI	"59.9475"	"10.3855"
"106"	SN19530	AUREVANN	"59.9967"	"10.4601"
"144"	SN19610	HORNI	"59.9153"	"10.4603"
"24"	SN19710	ASKER	"59.8558"	"10.4358"
"87"	SN19760	ASKER - VARDÅSEN	"59.82"	"10.3812"
"101"	SN19718	ASKER BRANNSTASJON II	"59.8303"	"10.439"
"35"	SN19800	RØYKEN	"59.75"	"10.38"
"123"	SN26970	FV319 SAGBUKTA	"59.6625"	"10.3802"
"17"	SN20470	E16 BEKKEHALLUM	"60.2822"	"10.5295"
"6"	SN19525	BÆRUMS VERK	"59.9383"	"10.515"
"96"	SN19455	BÆRUM - HAMANGSKOGEN	"59.89285"	"10.51535"
"136"	SN19670	ASKER - NESBRU	"59.86635"	"10.4966"
"166"	SN19490	GJETTUM PLU	"59.90585"	"10.5122"
"192"	SN19430	E18 SANDVIKA	"59.8923"	"10.5403"
"190"	SN19780	ASKER - VOLLEN	"59.8005"	"10.4895"
"164"	SN19810	RØYKEN - SKOGSBORG	"59.6919"	"10.5198"
"181"	SN19840	HURUM - KLOKKARSTUA	"59.62"	"10.47"
"23"	SN20500	ROA	"60.3"	"10.62"
"83"	SN20520	LUNNER	"60.295"	"10.5753"
"20"	SN19510	ØVREVOLL	"59.94046"	"10.6227"
"102"	SN19458	NADDERUD	"59.9248"	"10.5878"
"22"	SN19405	BÆRUM - STORØYA	"59.8909"	"10.608"
"88"	SN19428	BÆRUM - HØVIK	"59.8925"	"10.5777"
"44"	SN17775	FAGERSTRAND	"59.7377"	"10.5886"
"112"	SN17780	BLEKSLITJERN	"59.8095"	"10.6308"
"81"	SN19820	HURUM RADAR	"59.6272"	"10.5645"
"82"	SN17730	DRØBAK	"59.67"	"10.65"
"11"	SN4590	E16 ROMERIKSÅSEN	"60.2755"	"10.7475"
"170"	SN4543	RV4 STRYKEN	"60.157"	"10.7217"
"115"	SN17810	NESODDEN - TANGENÅSEN	"59.8553"	"10.6622"
"12"	SN17895	E18 SVARTSKOG	"59.794"	"10.76"
"118"	SN4460	HAKADAL JERNBANESTASJON	"60.1173"	"10.829"
"29"	SN17880	SKI	"59.72"	"10.83"
"151"	SN17890	KOLBOTN	"59.8"	"10.77"
"48"	SN17850	ÅS	"59.6605"	"10.7818"
"107"	SN17870	ÅS - RUSTADSKOGEN	"59.6703"	"10.8107"
"171"	SN17875	E18 HOLSTAD	"59.685"	"10.8312"
"133"	SN4400	NITTEDAL - ROTNES	"60.05"	"10.88"
"63"	SN4090	VALLERUDÅSEN	"59.914"	"10.9425"
"94"	SN18280	RV4 GJELLERÅSEN	"59.9865"	"10.9287"
"153"	SN17630	HOBØL - ELVESTAD	"59.62"	"10.95"
"39"	SN4721	NANNESTAD - TEIGEBYEN	"60.22"	"11.02"
"176"	SN4740	UKKESTAD	"60.1742"	"11.051"
"1"	SN4300	GJERDRUM - ASK	"60.07"	"11.03"
"60"	SN18265	E6 DJUPDALEN	"59.962"	"10.975"
"68"	SN4260	SKEDSMO - HELLERUD	"59.9775"	"10.9777"
"80"	SN4200	KJELLER	"59.9708"	"11.0383"
"104"	SN4170	LØRENSKOG	"59.93"	"10.97"
"119"	SN4110	LØRENSKOG - HANEBORG	"59.946"	"10.9762"
"85"	SN17640	FV155 RÅKEN	"59.7397"	"11.0083"
"173"	SN3780	IGSI I HOBØL	"59.636"	"11.0468"
"132"	SN11120	EIDSVOLL VERK	"60.2987"	"11.16"
"199"	SN11125	E6 ANDELVA	"60.2852"	"11.1358"
"30"	SN4781	GARDERMOEN SØR	"60.1883"	"11.0743"
"98"	SN4780	GARDERMOEN	"60.2065"	"11.0802"
"183"	SN4725	E16 GARDERMOEN	"60.1677"	"11.1165"
"53"	SN4150	LILLESTRØM	"59.97"	"11.07"
