,ID,Name,Latitude,Longitude
0,SN18700,OSLO - BLINDERN,59.9423,10.72
1,SN18269,OSLO - HAUGENSTUA,59.9535,10.9035
2,SN18260,OSLO - HØYBRÅTEN,59.9468,10.9257
3,SN18245,OSLO - AMMERUD,59.9652,10.8737
4,SN18230,ALNA,59.9273,10.8352
5,SN18170,OSLO - ØSTENSJØ,59.8955,10.8368
6,SN18215,OSLO - BROBEKK,59.9323,10.8315
7,SN18233,OSLO - NYLAND,59.9451,10.864
8,SN18980,OSLO - LILLEAKER,59.9185,10.635
9,SN18020,OSLO - LAMBERTSETER,59.8775,10.8185
10,SN18310,OSLO - TØYEN,59.9147,10.7747
11,SN18920,OSLO - BESSERUD,59.9573,10.671
12,SN18690,E18 HJORTNES,59.9112,10.7043
13,SN18645,OSLO - SOLLI PLASS,59.9142,10.7202
14,SN18205,OSLO - LØREN,59.9287,10.7902
15,SN18950,TRYVANNSHØGDA,59.9847,10.6693
16,SN18235,OSLO - FURUSET,59.942,10.8972
17,SN18420,OSLO - DISEN,59.946,10.7903
18,SN18160,NORDSTRAND,59.873,10.7912
19,SN18815,OSLO - BYGDØY,59.9048,10.6825
20,SN18315,OSLO - SOFIENBERG,59.919,10.7623
21,SN18405,OSLO - SANDAKER,59.9398,10.7727
22,SN18701,OSLO - BLINDERN PLU,59.94227,10.7201
23,SN18450,MARIDALSOSET,59.9719,10.7894
24,SN18390,OSLO - BJØLSEN,59.9418,10.7483
25,SN18240,E6 FURUSET,59.9378,10.8905
26,SN17980,OSLO - LJABRUVEIEN,59.8427,10.8236
27,SN18195,OSLO - HØYENHALL,59.9033,10.8212
28,SN18500,BJØRNHOLT,60.0513,10.6878
29,SN18180,OSLO - TRASOP,59.907,10.847
30,SN18270,OSLO - VESTLI,59.9683,10.9185
31,SN18162,OSLO - KVÆRNERBYEN,59.9047,10.7864
32,SN18440,OSLO - KJELSÅS,59.9605,10.7853
33,SN18225,OSLO - TONSENHAGEN,59.9467,10.8293
34,SN18165,OSLO - RYEN,59.8963,10.8013
35,SN18210,OSLO - HOVIN,59.923,10.804
36,SN18703,OSLO - BLINDERN TESTFELT,59.94256,10.7194
37,SN18670,OSLO - STUDENTERLUNDEN,59.91,10.73
38,SN18410,RV150 AKER SYKEHUS,59.941,10.798
