,ID,Name,Latitude,Longitude
0,SN26640,E134 DARBU,59.7025,9.7773
1,SN4300,GJERDRUM - ASK,60.07,11.03
2,SN19660,E16 SKUI,59.9475,10.3855
3,SN26864,DRAMMEN SYKEHUS,59.7497,10.195
4,SN19830,FV289 HURUM,59.548,10.4922
5,SN26900,DRAMMEN - BERSKOG,59.7537,10.1237
6,SN19525,BÆRUMS VERK,59.9383,10.515
7,SN3600,SKIPTVET,59.47,11.17
8,SN4040,ENEBAKK - BARBØL,59.75,11.1535
9,SN17650,E6 VESTBY,59.6002,10.7395
10,SN3370,ØSAKER,59.3193,11.0422
11,SN4590,E16 ROMERIKSÅSEN,60.2755,10.7475
12,SN17895,E18 SVARTSKOG,59.794,10.76
13,SN3280,RAKKESTAD - SANDER,59.4617,11.3937
14,SN26580,DRAMMEN - BANGELØKKA,59.731,10.2142
15,SN29720,DAGALI LUFTHAVN,60.4188,8.5263
16,SN19923,E18 LIERSKOGEN,59.819,10.33
17,SN20470,E16 BEKKEHALLUM,60.2822,10.5295
18,SN26840,KROKSTADELVA - LANGELØKKA,59.7658,10.0123
19,SN26894,DRAMMEN - GULSKOGEN,59.7413,10.1672
20,SN19510,ØVREVOLL,59.94046,10.6227
21,SN19932,GLITREVANN,59.8562,10.065
22,SN19405,BÆRUM - STORØYA,59.8909,10.608
23,SN20500,ROA,60.3,10.62
24,SN19710,ASKER,59.8558,10.4358
25,SN1650,STRØMSFOSS SLUSE,59.3006,11.6599
26,SN2000,RØMSKOG,59.73,11.82
27,SN3480,E18 MELLEBY,59.546,11.4535
28,SN26780,SOLBERGELVA - OLLEVEIEN,59.7655,10.0582
29,SN17880,SKI,59.72,10.83
30,SN4781,GARDERMOEN SØR,60.1883,11.0743
31,SN3005,E6 INGEDAL,59.1778,11.2075
32,SN26852,DRAMMEN - BRAGERNES SKOLE,59.7487,10.2258
33,SN25165,RV52 HEMSEDALSFJELLET,60.9757,8.1557
34,SN24600,GRIMELI I KRØDSHERAD,60.137,9.5958
35,SN19800,RØYKEN,59.75,10.38
36,SN29600,TUNHOVD,60.4629,8.7511
37,SN11450,MINNESUND JERNBANESTASJON,60.3943,11.2302
38,SN4820,FETSUND,59.92,11.17
39,SN4721,NANNESTAD - TEIGEBYEN,60.22,11.02
40,SN26810,HOKKSUND - LOE,59.7688,9.9155
41,SN11091,EIDSVOLL,60.35,11.23
42,SN24800,FLÅ,60.43,9.47
43,SN28380,KONGSBERG BRANNSTASJON,59.6247,9.6377
44,SN17775,FAGERSTRAND,59.7377,10.5886
45,SN28900,ROLLAG,59.98,9.3
46,SN24890,NESBYEN - TODOKK,60.567,9.1323
47,SN3710,ASKIM,59.58,11.17
48,SN17850,ÅS,59.6605,10.7818
49,SN27010,KONNERUD,59.713,10.146
50,SN17500,FLØTER,59.4963,11.0133
51,SN3190,SARPSBORG,59.2852,11.1128
52,SN25090,HEMSEDAL,60.88,8.58
53,SN4150,LILLESTRØM,59.97,11.07
54,SN17150,RYGGE,59.3742,10.798
55,SN20290,HØNEFOSS,60.17,10.25
56,SN19940,LIER,59.7908,10.2598
57,SN1135,FV101 PRESTEBAKKE,58.99,11.5408
58,SN29280,RØDBERG,60.27,8.97
59,SN25640,GEILO,60.532,8.1483
60,SN18265,E6 DJUPDALEN,59.962,10.975
61,SN26950,SVELVIK - KNEM,59.6027,10.4047
62,SN1380,RV111 GAUTESTAD,59.376,11.3027
63,SN4090,VALLERUDÅSEN,59.914,10.9425
64,SN3731,E18 SMAALENENE VIND,59.5928,11.0917
65,SN17090,E6 KARLSHUS,59.3503,10.897
66,SN4960,RV2 UVESUND BRU,60.2688,11.4792
67,SN26932,DRAMMEN - AUSTAD,59.721,10.2168
68,SN4260,SKEDSMO - HELLERUD,59.9775,10.9777
69,SN25290,ÅL,60.65,8.57
70,SN17000,STRØMTANGEN FYR,59.1513,10.8288
71,SN2980,FV118 SVINESUND,59.1105,11.2753
72,SN17380,RYGGE - HUGGENES,59.398,10.7543
73,SN26594,DRAMMEN - DANVIK,59.7327,10.1973
74,SN26630,VESTFOSSEN,59.7323,9.8728
75,SN24710,GULSVIK II,60.383,9.605
76,SN17030,ONSØY - EVJA,59.2648,10.75
77,SN25580,RV7 KVISLA I HOL,60.5825,8.3213
78,SN26872,DRAMMEN - ØREN SKOLE,59.7523,10.1705
79,SN20260,HOLE - RØYSE,60.08,10.2
80,SN4200,KJELLER,59.9708,11.0383
81,SN19820,HURUM RADAR,59.6272,10.5645
82,SN17730,DRØBAK,59.67,10.65
83,SN20520,LUNNER,60.295,10.5753
84,SN25320,ÅL III,60.6391,8.5609
85,SN17640,FV155 RÅKEN,59.7397,11.0083
86,SN3019,FREDRIKSTAD BRANNSTASJON,59.2105,10.945
87,SN19760,ASKER - VARDÅSEN,59.82,10.3812
88,SN19428,BÆRUM - HØVIK,59.8925,10.5777
89,SN28750,FLESBERG,59.8685,9.3995
90,SN24210,SOKNA II,60.238,9.9267
91,SN1960,E18 ØRJE VEST,59.51,11.6107
92,SN25260,VATS - RANDEN,60.6785,8.2783
93,SN26220,SIGDAL - PRESTFOSS,60.05,9.6
94,SN18280,RV4 GJELLERÅSEN,59.9865,10.9287
95,SN24650,NORESUND,60.18,9.6
96,SN19455,BÆRUM - HAMANGSKOGEN,59.89285,10.51535
97,SN25110,HEMSEDAL II,60.8548,8.593
98,SN4780,GARDERMOEN,60.2065,11.0802
99,SN3120,ROLVSØY - ELVENESVEIEN,59.2597,11.0207
100,SN25541,BAKKO I HOL II,60.68108,8.00375
101,SN19718,ASKER BRANNSTASJON II,59.8303,10.439
102,SN19458,NADDERUD,59.9248,10.5878
103,SN1200,HALDEN,59.13,11.4
104,SN4170,LØRENSKOG,59.93,10.97
105,SN28923,FV40 VEGGLI,60.0393,9.1667
106,SN19530,AUREVANN,59.9967,10.4601
107,SN17870,ÅS - RUSTADSKOGEN,59.6703,10.8107
108,SN24240,RV7 RALLERUD,60.2588,9.8453
109,SN17610,VÅLER,59.42,11.0
110,SN1640,STRØMSFOSS,59.3,11.67
111,SN17251,MOSS BRANNSTASJON,59.4425,10.6835
112,SN17780,BLEKSLITJERN,59.8095,10.6308
113,SN4825,FV170 KOMPVEIEN,59.942,11.3015
114,SN11440,FV33 FEIRING,60.5878,11.147
115,SN17810,NESODDEN - TANGENÅSEN,59.8553,10.6622
116,SN26450,FV211 HAGLEBU,60.3667,9.186
117,SN17550,E6 SONSVEIEN,59.5177,10.7252
118,SN4460,HAKADAL JERNBANESTASJON,60.1173,10.829
119,SN4110,LØRENSKOG - HANEBORG,59.946,10.9762
120,SN20250,HOLE,60.1088,10.2948
121,SN27015,DRAMMEN - JARLSBERGVEIEN,59.7192,10.1458
122,SN1230,HALDEN,59.1223,11.388
123,SN26970,FV319 SAGBUKTA,59.6625,10.3802
124,SN19930,GLITRE,59.86835,10.0563
125,SN1080,HVALER,59.0367,11.0443
126,SN24820,RV7 NESBYEN,60.5325,9.1548
127,SN11290,HURDAL - BRUSTAD,60.43,11.08
128,SN17005,ONSØY - ØYENKILEN,59.1735,10.8487
129,SN20280,HØNEFOSS - HVERVEN,60.1403,10.2662
130,SN17400,FV120 RØDSUND,59.4765,10.79
131,SN20361,RV35 EGGEMOEN,60.2052,10.3113
132,SN11120,EIDSVOLL VERK,60.2987,11.16
133,SN4400,NITTEDAL - ROTNES,60.05,10.88
134,SN3000,SKJEBERG,59.2,11.2
135,SN17050,RÅDE - TOMB,59.3188,10.8145
136,SN19670,ASKER - NESBRU,59.86635,10.4966
137,SN4920,ÅRNES,60.1268,11.3933
138,SN2480,FV21 TANGEN,59.8438,11.7178
139,SN4950,FV175 FOLMO,60.1468,11.494
140,SN26500,GEITHUS,59.9202,9.9728
141,SN3290,RAKKESTAD,59.3882,11.3905
142,SN26590,DRAMMEN - SLETTA,59.7445,10.2312
143,SN20301,HØNEFOSS - HØYBY,60.1665,10.2478
144,SN19610,HORNI,59.9153,10.4603
145,SN3730,E18 SMÅLENENES BRU,59.5923,11.095
146,SN25630,GEILO - OLDEBRÅTEN,60.53,8.1948
147,SN3030,FREDRIKSTAD,59.2307,10.9632
148,SN3990,RV22 KROKEDAL,59.7582,11.2923
149,SN24670,RV7 ØVRE KRØDSHERAD,60.2685,9.6923
150,SN26934,DRAMMEN - SOLUMSTRAND,59.7112,10.2688
151,SN17890,KOLBOTN,59.8,10.77
152,SN1400,BREKKE SLUSE,59.1477,11.5583
153,SN17630,HOBØL - ELVESTAD,59.62,10.95
154,SN28450,E134 MEHEIA,59.6112,9.4545
155,SN3015,BORGE - BERG,59.1895,11.032
156,SN17280,GULLHOLMEN,59.4352,10.578
157,SN24960,GOL - STAKE,60.7188,8.9478
158,SN1050,HVALER - SKJÆRHALLEN,59.02,11.0
159,SN26898,DRAMMEN - ÅSSIDEN,59.7538,10.1382
160,SN23300,FV51 GOLSFJELLET,60.8175,9.1185
161,SN26790,MJØNDALEN - ORKIDEHØGDA,59.7498,10.0275
162,SN26862,DRAMMEN TINGHUS,59.744,10.2118
163,SN24350,RV35 NAKKERUD,60.0518,10.049
164,SN19810,RØYKEN - SKOGSBORG,59.6919,10.5198
165,SN25115,HEMSEDAL SKISENTER,60.8397,8.4968
166,SN19490,GJETTUM PLU,59.90585,10.5122
167,SN29350,UVDAL KRAFTVERK,60.255,8.7057
